@@,item,itemlabel,startdate,enddate,district,districtlabel,party,partylabel,psid
->,Q44116439,Stephen Andrew,2017-11-25,,Q5355667,Mirani,NULL->Q1585274,NULL->One Nation,Q44116439-091d7297-423a-3455-e4ba-11713b8629b3
->,Q7608697,Stephen Bennett,2012-03-24,,Q5355185,Burnett,NULL->Q1822905,NULL->LNP,Q7608697-7EDB1F71-8DB6-4A96-8390-C7F1929BBDE3
->,Q7613391,Steve Minnikin,2012-03-24,,Q5355233,Chatsworth,NULL->Q1822905,NULL->LNP,Q7613391-EC9E354E-0522-4D30-BDDC-D103B627B066
->,Q19561555,Steven Miles,2017-11-25,,Q5355745,Murrumba,NULL->Q55604512,NULL->Labor,Q19561555-eb3fec6d-4ae0-c8b8-3d13-004ccb374c7c
->,Q7617574,Stirling Hinchliffe,2015-01-31,,Q5355923,Sandgate,NULL->Q55604512,NULL->Labor,Q7617574-b22c3509-4da6-b48c-2996-290b39280783
->,Q7803885,Tim Mander,2012-03-24,,Q5355389,Everton,NULL->Q1822905,NULL->LNP,Q7803885-F86A5864-2F87-484B-A7B1-EC1305DA5BA4
->,Q7804046,Tim Nicholls,2006-09-09,,Q5355241,Clayfield,NULL->Q1822905,NULL->LNP,Q7804046-2AC666DA-3009-466D-907F-1661519A2F72
->,Q19519415,Tony Perrett,2015-01-31,,Q5355481,Gympie,NULL->Q1822905,NULL->LNP,Q19519415-D363CDEF-09AB-462B-9DB5-30F40C5C0AC4
->,Q7839480,Trevor Watts,2012-03-24,,Q17003566,Toowoomba North,NULL->Q1822905,NULL->LNP,Q7839480-A860FCAC-0F9B-44A1-B676-6032A85A074C
->,Q8062364,Yvette D'Ath,2014-02-22,,Q5355888,Redcliffe,Q216082->Q55604512,Australian Labor Party->Labor,Q8062364-5faa2b19-4d92-8bdb-b426-8f49ea055bb1
